ContractId	Age	Gender	Children	Profession	"Customer Type"	"Multiple cars"	"Driving Licence Years"	"Car category"	"Annual Kilometers"	Gearbox	Fuel	Claim	rr_Claim
65	53	Man	4+	"Private Sector - Manager"	Agency	No	6	Sport	34010	Manual	Diesel		0.36034986260453661
66	83	Man	4+	"Private Sector - Director"	Agency	No	10	Sport	21559	Manual	Diesel		0.54884748870842259
67	38	Woman	1	Government	On-line	Yes	7	Saloon	21245	Automatic	Petrol		0.0019815278649907425
68	36	Woman	2	"Public Sector - Director"	Agency	Yes	7	Sport	23797	Automatic	Petrol		0.1075225550398769
69	68	Man	0	Retired	Agency	No	17	Saloon	29629	Automatic	Diesel		0.34631594572221347
71	35	Woman	2	Government	Agency	Yes	11	Sport	30757	Automatic	Diesel		0.29236217155634026
72	51	Woman	1	Student	On-line	No	9	Saloon	24296	Manual	Diesel		0.041089810312653789
74	43	Man	4+	Independant	Agency	No	16	Saloon	21687	Automatic	Petrol		0.045835787778084003
75	57	Woman	0	"Private Sector - Manager"	Agency	No	3	Estate	30438	Automatic	Petrol		0.11335820797324653
76	39	Man	1	"Private Sector - Employee"	Agency	No	10	Sport	24527	Automatic	Diesel		0.34333988308361818
77	30	Woman	2	Retired	Agency	No	5	Saloon	29537	Automatic	Diesel		0.1199040605696025
78	41	Woman	0	"Public Sector - Manager"	Agency	Yes	17	Saloon	39170	Automatic	Petrol		0.20114370340979137
79	56	Woman	4+	"Private Sector - Employee"	Agency	No	19	Saloon	24929	Manual	Petrol		-0.12480082279518841
80	74	Woman	1	Unemployed	Agency	Yes	18	Sport	37547	Manual	Diesel		0.20213775203599821
82	48	Woman	1	Unemployed	Agency	No	13	Saloon	33769	Automatic	Petrol		-0.05003199767409415
84	61	Woman	4+	Unemployed	Agency	No	11	Sport	38288	Automatic	Diesel		0.20152527391364303
85	52	Woman	2	"Public Sector - Employee"	Agency	No	6	Saloon	14332	Automatic	Petrol		-0.10674113591152137
86	63	Woman	2	Independant	Agency	Yes	11	Saloon	33021	Automatic	Diesel		0.030102670518145788
87	62	Woman	0	"Public Sector - Manager"	Agency	Yes	4	Saloon	22515	Manual	Diesel		0.31294089507838785
88	29	Man	2	Student	On-line	No	6	Saloon	23352	Automatic	Petrol		0.1413717229165784
89	76	Man	2	"Public Sector - Employee"	On-line	No	8	Estate	27173	Automatic	Diesel		0.39928022656386786
91	19	Woman	1	"Private Sector - Manager"	Agency	No	1	Sport	40747	Manual	Diesel		0.25718064507183985
92	49	Man	4+	Student	On-line	Yes	4	Estate	22400	Automatic	Diesel		0.16902585750439469
93	65	Woman	2	"Public Sector - Employee"	Agency	Yes	8	Estate	30616	Manual	Diesel		0.051667838235160364
94	74	Woman	1	Unemployed	Agency	Yes	10	Saloon	23009	Automatic	Diesel		0.042626888744779379
95	49	Man	4+	"Private Sector - Director"	Agency	No	3	Sport	21716	Manual	Petrol		0.26329591202672337
96	57	Man	4+	Unemployed	On-line	No	16	Estate	40367	Manual	Petrol		0.057245230798917787
97	58	Man	4+	"Private Sector - Employee"	On-line	No	11	Saloon	15537	Manual	Diesel		0.036733304178533044
98	18	Woman	4+	"Public Sector - Manager"	Agency	No	0	Saloon	9370	Automatic	Diesel		0.17180050593156376
99	26	Woman	1	Retired	On-line	No	8	Estate	18995	Automatic	Petrol		-0.0056092977137014444
100	30	Woman	1	"Private Sector - Employee"	Agency	No	4	Saloon	17937	Manual	Petrol		-0.10082096157454942
104	48	Woman	1	Retired	Agency	No	9	Saloon	21626	Automatic	Diesel		0.040367929937116381
105	47	Man	2	Retired	Agency	No	14	Saloon	30187	Automatic	Petrol		0.099778314891942582
106	27	Man	0	"Private Sector - Employee"	Agency	Yes	9	Saloon	20286	Automatic	Diesel		0.30011649361049064
108	45	Woman	2	Independant	Agency	Yes	19	Estate	20701	Automatic	Diesel		0.020352435630750947
109	51	Woman	2	Independant	Agency	Yes	12	Sport	25541	Automatic	Diesel		0.22639233619614915
110	71	Woman	4+	"Public Sector - Director"	Agency	Yes	16	Estate	18166	Manual	Diesel		-0.071122801991166246
111	21	Man	1	Retired	On-line	No	3	Sport	17754	Automatic	Petrol		0.30637094382719848
112	51	Woman	4+	Government	Agency	Yes	9	Sport	30954	Automatic	Diesel		0.23240516596803101
113	70	Woman	1	"Private Sector - Employee"	Agency	No	14	Sport	21169	Automatic	Diesel		0.12411711202468342
114	36	Man	1	"Public Sector - Manager"	Agency	Yes	18	Sport	20327	Manual	Petrol		0.43087821805754378
115	38	Woman	0	Student	Agency	No	12	Sport	20794	Manual	Diesel		0.41211026391996697
117	76	Woman	4+	Independant	Agency	No	3	Saloon	38745	Automatic	Diesel		0.20359365889700212
118	30	Man	4+	Unemployed	On-line	No	12	Saloon	23208	Manual	Diesel		0.24901360832783245
119	54	Woman	0	"Private Sector - Director"	Agency	Yes	21	Estate	35790	Automatic	Diesel		0.1912789537289856
120	82	Man	2	Independant	Agency	Yes	5	Estate	33814	Manual	Petrol		0.2664137662974902
121	53	Man	2	Independant	On-line	No	17	Estate	23467	Automatic	Petrol		0.079796032303190989
122	18	Woman	3	"Public Sector - Director"	Agency	Yes	0	Sport	22000	Automatic	Petrol		0.10483818543740336
123	55	Man	2	Student	Agency	No	12	Sport	26619	Manual	Diesel		0.36970529131413632
124	22	Woman	2	Independant	On-line	No	4	Estate	21835	Automatic	Petrol		-0.0025637232282857969
125	80	Man	4+	Government	On-line	No	16	Saloon	26491	Manual	Diesel		0.39881217692805104
126	22	Woman	2	Independant	On-line	No	4	Estate	39606	Manual	Petrol		-0.025492326821423765
128	61	Woman	4+	Retired	Agency	No	5	Estate	15464	Automatic	Diesel		-0.014585733979943977
129	43	Woman	4+	Student	On-line	No	16	Estate	21605	Automatic	Petrol		-0.092996151478967878
130	43	Woman	4+	"Public Sector - Manager"	On-line	No	4	Estate	22893	Automatic	Diesel		0.13928334847797774
131	36	Man	2	"Private Sector - Manager"	Agency	No	18	Sport	24057	Manual	Petrol		0.33510781098827208
133	36	Woman	4+	"Private Sector - Employee"	Agency	Yes	4	Estate	41685	Automatic	Diesel		-0.02062453278875101
135	49	Man	4+	"Public Sector - Employee"	Agency	No	8	Saloon	33443	Manual	Diesel		0.18425642199538275
136	74	Man	0	"Private Sector - Employee"	Agency	Yes	19	Saloon	39943	Manual	Petrol		0.12128515893356887
137	22	Man	0	Independant	Agency	No	4	Estate	19982	Manual	Diesel		0.37399764004120339
138	44	Woman	1	Independant	Agency	Yes	16	Saloon	28571	Automatic	Petrol		-0.048254912382584295
139	18	Woman	0	Retired	On-line	No	0	Estate	26881	Automatic	Petrol		0.19253539958514795
140	19	Man	4+	Government	Agency	Yes	1	Estate	9482	Automatic	Diesel		0.19341222681457487
141	48	Woman	2	Retired	Agency	No	16	Estate	31431	Automatic	Diesel		0.052195879572724133
142	25	Man	0	Unemployed	Agency	Yes	7	Sport	26395	Automatic	Diesel		0.60081604385030196
143	66	Woman	4+	Independant	On-line	Yes	18	Saloon	37910	Automatic	Diesel		0.0095758797079449343
144	52	Woman	4+	Independant	Agency	No	21	Saloon	33799	Manual	Diesel		0.03024180177536448
145	60	Woman	4+	"Public Sector - Director"	Agency	Yes	7	Estate	15591	Manual	Diesel		-0.10214536727047913
146	71	Man	4+	Retired	Agency	Yes	7	Sport	19663	Manual	Petrol		0.24710467059784047
149	56	Woman	1	"Private Sector - Director"	Agency	No	12	Sport	32438	Automatic	Petrol		0.13174305060080613
150	40	Man	0	"Public Sector - Manager"	Agency	No	8	Sport	17199	Manual	Petrol		0.56580706552229654
151	53	Man	1	"Public Sector - Manager"	Agency	No	17	Estate	33180	Manual	Petrol		0.20633832976936237
152	70	Man	2	"Private Sector - Director"	Agency	Yes	13	Sport	36895	Manual	Diesel		0.34480661879532304
153	79	Man	0	Independant	Agency	No	20	Saloon	31377	Automatic	Diesel		0.5239519205030303
154	46	Woman	0	Government	On-line	No	11	Saloon	25713	Automatic	Petrol		0.12161096532370252
155	68	Woman	4+	Government	Agency	Yes	14	Estate	21438	Automatic	Diesel		0.035421085999058043
156	50	Man	3	Retired	On-line	No	22	Saloon	21283	Automatic	Diesel		0.17731848431594704
157	48	Woman	3	"Private Sector - Employee"	Agency	No	6	Estate	43644	Automatic	Petrol		-0.21642936743716759
159	56	Woman	0	Student	Agency	Yes	5	Sport	22048	Automatic	Diesel		0.35969943417128769
160	73	Woman	0	"Public Sector - Manager"	Agency	No	14	Saloon	42358	Automatic	Petrol		0.17497164041524516
161	22	Woman	0	"Public Sector - Director"	Agency	No	4	Estate	24228	Automatic	Diesel		0.18548186364517469
162	68	Man	4+	"Public Sector - Manager"	On-line	No	14	Sport	19253	Automatic	Diesel		0.45652811751869515
163	50	Man	4+	Independant	Agency	No	13	Saloon	19699	Automatic	Diesel		0.15436235110894198
164	27	Man	2	"Public Sector - Employee"	Agency	No	3	Sport	20639	Automatic	Diesel		0.41448805627594898
165	49	Woman	4+	Retired	Agency	Yes	9	Saloon	28542	Manual	Diesel		0.061832557757535198
166	71	Man	4+	Student	On-line	No	9	Estate	15395	Automatic	Petrol		0.01254427614783047
167	20	Man	2	Independant	Agency	No	2	Sport	26061	Manual	Diesel		0.43297624523698197
168	79	Man	4+	Retired	On-line	No	14	Estate	26160	Automatic	Petrol		0.30277208518749177
169	28	Man	4+	"Private Sector - Employee"	Agency	Yes	7	Saloon	17970	Manual	Petrol		0.038543564558534193
171	27	Woman	2	Government	Agency	No	9	Estate	29047	Automatic	Diesel		0.122703519165393
172	65	Man	1	Government	On-line	Yes	5	Estate	23365	Manual	Diesel		0.18515599573864727
173	39	Man	1	"Public Sector - Director"	Agency	Yes	9	Estate	34653	Automatic	Petrol		0.055627445567249814
175	48	Woman	4+	"Public Sector - Director"	Agency	No	3	Sport	29139	Automatic	Diesel		0.15032305008616156
178	69	Woman	4+	Independant	Agency	Yes	18	Estate	25604	Automatic	Diesel		0.043930372449217089
179	74	Woman	2	"Public Sector - Director"	Agency	Yes	22	Sport	31623	Automatic	Diesel		0.13686845888299398
180	27	Woman	4+	Retired	Agency	Yes	9	Saloon	44720	Automatic	Diesel		0.02844374886534437
181	20	Man	2	Independant	Agency	No	2	Sport	21202	Manual	Diesel		0.40618132740942869
182	23	Man	0	"Public Sector - Director"	Agency	Yes	5	Estate	20176	Manual	Diesel		0.30111549345559163
183	19	Woman	2	"Private Sector - Director"	Agency	Yes	1	Sport	21031	Automatic	Petrol		0.18686498102351967
187	23	Woman	4+	"Private Sector - Director"	Agency	Yes	5	Saloon	27503	Automatic	Diesel		0.12933581974717445
188	21	Woman	2	"Private Sector - Employee"	Agency	Yes	3	Sport	17136	Automatic	Diesel		0.1714276929593318
189	84	Man	4+	"Private Sector - Employee"	Agency	Yes	10	Sport	30109	Automatic	Diesel		0.47717572849043777
190	55	Woman	1	Government	Agency	No	20	Saloon	19465	Automatic	Diesel		0.027698832706561819
191	46	Man	3	Independant	On-line	No	4	Saloon	34425	Manual	Diesel		0.16614479553621303
193	80	Man	4+	"Private Sector - Manager"	Agency	No	19	Estate	33826	Automatic	Diesel		0.3760148664186922
194	20	Woman	1	"Private Sector - Director"	On-line	No	2	Sport	31174	Automatic	Diesel		0.29702554757145427
195	69	Man	2	"Public Sector - Director"	Agency	No	6	Estate	30211	Automatic	Diesel		0.10262274279521388
196	39	Woman	2	"Private Sector - Director"	On-line	Yes	12	Sport	23538	Manual	Diesel		0.28727803643005301
197	53	Woman	0	"Private Sector - Director"	Agency	No	22	Saloon	27802	Automatic	Diesel		0.21752790868636504
200	64	Man	0	"Private Sector - Manager"	Agency	No	3	Sport	24338	Manual	Diesel		0.52298526369857268
201	56	Man	2	"Public Sector - Employee"	Agency	Yes	7	Saloon	38863	Manual	Diesel		0.15975691019889071
202	27	Man	4+	Government	On-line	No	9	Sport	16252	Manual	Diesel		0.3669957914357117
204	36	Woman	0	Independant	On-line	Yes	16	Estate	38289	Manual	Diesel		0.22398915228042759
205	66	Woman	0	Student	Agency	No	13	Estate	24890	Automatic	Diesel		0.19450553047723459
206	40	Woman	4+	Government	Agency	No	16	Sport	17198	Automatic	Diesel		0.25191475708681738
207	32	Woman	3	Student	Agency	Yes	12	Estate	42812	Manual	Diesel		0.048797277435905659
208	47	Woman	2	Government	Agency	No	11	Sport	19458	Automatic	Diesel		0.20661835661868624
209	61	Woman	2	"Private Sector - Employee"	On-line	No	15	Sport	36636	Automatic	Petrol		0.02754296484693497
210	70	Woman	1	Government	Agency	No	15	Saloon	28312	Automatic	Diesel		0.057954276639890112
212	51	Woman	4+	Government	On-line	No	18	Saloon	31290	Automatic	Diesel		0.052874288233653366
213	46	Woman	2	"Private Sector - Employee"	Agency	No	4	Estate	23503	Manual	Diesel		-0.037515379513603508
214	21	Woman	4+	"Public Sector - Director"	On-line	No	3	Sport	29423	Automatic	Diesel		0.21455303586096502
215	71	Man	1	Student	Agency	No	22	Estate	19782	Automatic	Diesel		0.14971892795602887
216	51	Woman	0	"Public Sector - Director"	Agency	No	4	Sport	30315	Manual	Petrol		0.20588136210699187
218	41	Woman	1	Unemployed	On-line	Yes	12	Sport	16571	Automatic	Diesel		0.17061883536271483
219	44	Man	4+	"Public Sector - Employee"	Agency	No	8	Sport	14719	Manual	Diesel		0.30369691347453387
220	31	Man	4+	Independant	On-line	No	11	Saloon	25561	Manual	Diesel		0.24736663259870001
222	74	Man	0	Retired	Agency	No	7	Saloon	22727	Automatic	Petrol		0.23861913272428764
223	54	Woman	4+	"Private Sector - Director"	Agency	Yes	12	Saloon	32938	Automatic	Petrol		-0.04783593040205425
225	63	Woman	2	Unemployed	Agency	Yes	8	Saloon	31735	Automatic	Diesel		0.048510599738053356
228	55	Man	0	Unemployed	Agency	Yes	9	Estate	26356	Manual	Diesel		0.35786272287779508
229	22	Man	1	Independant	On-line	Yes	4	Estate	52930	Manual	Diesel		0.15261777682339372
230	41	Woman	0	"Private Sector - Director"	On-line	No	7	Saloon	31848	Manual	Diesel		0.20944842371516645
231	19	Woman	2	Independant	Agency	No	1	Saloon	25964	Manual	Petrol		0.021409810753243282
232	48	Woman	4+	"Public Sector - Director"	Agency	No	9	Estate	19271	Automatic	Diesel		-0.060390436375668224
233	25	Man	1	"Private Sector - Employee"	Agency	Yes	7	Estate	23565	Automatic	Diesel		0.16521753747888712
234	75	Woman	4+	Independant	Agency	No	13	Saloon	24136	Manual	Diesel		0.13473212927534731
236	25	Woman	0	Student	Agency	No	7	Estate	17380	Manual	Diesel		0.22006498482784029
237	32	Man	2	"Public Sector - Director"	Agency	No	14	Sport	30685	Automatic	Petrol		0.24979259357379791
238	65	Woman	4+	Student	Agency	No	22	Sport	31916	Automatic	Diesel		0.21165131310563198
239	57	Man	1	"Private Sector - Director"	Agency	No	12	Sport	20959	Manual	Diesel		0.35226839652763164
240	39	Woman	2	"Public Sector - Director"	Agency	Yes	21	Sport	26403	Automatic	Diesel		0.2153053196459426
241	57	Man	1	Unemployed	Agency	Yes	22	Sport	19731	Automatic	Diesel		0.34549660004847227
242	32	Man	0	"Private Sector - Director"	Agency	No	11	Sport	21225	Automatic	Diesel		0.56949632944752182
243	56	Woman	1	Independant	Agency	No	10	Sport	39114	Manual	Petrol		0.089699646277737521
244	52	Woman	1	Independant	Agency	No	22	Saloon	46431	Automatic	Diesel		-0.048962217316952092
245	50	Man	0	Independant	Agency	No	16	Sport	23262	Manual	Diesel		0.50623124322591451
246	50	Man	2	Independant	Agency	No	19	Estate	23098	Manual	Diesel		0.17310611025606149
247	53	Man	4+	"Private Sector - Director"	Agency	No	8	Saloon	13404	Automatic	Petrol		0.031620813500986611
248	30	Woman	0	"Private Sector - Employee"	Agency	No	12	Sport	50266	Manual	Diesel		0.27034325349126698
250	70	Man	0	"Public Sector - Manager"	Agency	No	20	Sport	29722	Automatic	Diesel		0.64030379595834819
251	26	Woman	2	Independant	Agency	No	8	Sport	43765	Automatic	Diesel		0.19329261170939022
252	19	Man	0	"Private Sector - Manager"	Agency	No	1	Estate	13490	Automatic	Petrol		0.25160756748809843
253	57	Woman	2	Government	Agency	Yes	7	Estate	22270	Manual	Petrol		-0.051935031370574834
254	53	Woman	4+	Retired	Agency	No	12	Estate	33307	Manual	Diesel		0.045821842880534494
255	33	Woman	4+	"Private Sector - Director"	Agency	No	15	Saloon	26077	Automatic	Diesel		0.12525074019710847
256	52	Woman	1	"Private Sector - Director"	Agency	No	8	Sport	43625	Automatic	Diesel		0.1443766076957651
257	25	Woman	4+	"Private Sector - Director"	Agency	No	7	Saloon	40240	Automatic	Petrol		-0.01570123097189885
258	29	Woman	2	Retired	Agency	No	9	Saloon	20546	Automatic	Diesel		0.096355677571913836
261	25	Man	4+	Government	Agency	Yes	7	Estate	21742	Automatic	Diesel		0.24293635518423859
262	73	Woman	2	Independant	Agency	No	4	Saloon	25938	Manual	Diesel		0.044800569810262272
264	80	Man	2	Government	Agency	No	5	Estate	24785	Automatic	Diesel		0.38940445315488659
265	29	Man	1	"Private Sector - Employee"	Agency	No	11	Estate	30875	Automatic	Diesel		0.16655742793001826
266	19	Man	4+	"Public Sector - Director"	Agency	No	1	Saloon	27707	Automatic	Diesel		0.18088527720833783
267	50	Man	4+	Retired	Agency	No	19	Estate	23457	Automatic	Diesel		0.18930699046064775
268	48	Woman	4+	"Public Sector - Manager"	Agency	No	20	Saloon	42335	Automatic	Diesel		0.1210457611376636
270	81	Man	2	"Private Sector - Manager"	Agency	No	12	Saloon	16479	Automatic	Diesel		0.31859264051382585
271	56	Man	4+	Independant	Agency	No	6	Sport	24937	Automatic	Diesel		0.36022677996008379
272	45	Man	4+	Unemployed	On-line	No	7	Sport	33455	Manual	Petrol		0.26711359540541973
273	49	Man	0	Student	Agency	Yes	17	Saloon	36663	Manual	Diesel		0.31173976001041159
274	40	Woman	2	Unemployed	Agency	Yes	17	Sport	21888	Automatic	Diesel		0.2777777257246492
275	44	Woman	4+	Student	Agency	No	15	Saloon	19593	Manual	Diesel		0.014011241057866483
276	52	Woman	4+	"Private Sector - Director"	On-line	No	16	Saloon	30694	Automatic	Diesel		0.054571738305080997
277	38	Man	2	"Public Sector - Director"	On-line	Yes	9	Estate	26396	Automatic	Petrol		0.080994691250039177
278	39	Woman	2	Student	Agency	No	17	Sport	25348	Automatic	Petrol		0.18842189660402425
279	78	Woman	0	"Public Sector - Employee"	Agency	No	21	Sport	15386	Automatic	Petrol		0.4192867821521879
280	18	Man	0	"Public Sector - Director"	On-line	No	0	Estate	48579	Automatic	Diesel		0.23551202677171357
281	46	Man	1	Independant	Agency	No	14	Sport	24750	Manual	Diesel		0.35972848583063477
282	67	Woman	4+	"Private Sector - Employee"	Agency	No	19	Sport	16467	Automatic	Diesel		0.074378745029323942
283	50	Man	4+	"Private Sector - Director"	Agency	No	18	Estate	22828	Manual	Petrol		0.091222181532456176
284	43	Man	4+	"Public Sector - Employee"	Agency	No	5	Sport	24736	Automatic	Petrol		0.25530763516289634
285	40	Woman	1	"Private Sector - Director"	Agency	No	6	Estate	42407	Automatic	Diesel		0.061867967078811072
287	71	Man	0	Retired	Agency	No	3	Saloon	21918	Manual	Diesel		0.32950283408853431
288	45	Man	4+	"Public Sector - Manager"	Agency	No	17	Estate	27628	Automatic	Diesel		0.31860287717737779
289	41	Man	2	Independant	Agency	No	11	Sport	32447	Automatic	Diesel		0.3563100792001993
290	77	Man	1	Independant	Agency	No	15	Sport	38083	Automatic	Petrol		0.42876115532500791
293	25	Man	1	Student	Agency	Yes	5	Estate	25107	Automatic	Diesel		0.2472714441070053
294	46	Man	0	"Private Sector - Director"	Agency	No	7	Saloon	31250	Automatic	Diesel		0.34448639999995601
295	27	Man	2	"Private Sector - Director"	Agency	Yes	9	Saloon	16386	Automatic	Diesel		0.18852630339548318
296	77	Woman	4+	Unemployed	Agency	No	19	Estate	29114	Automatic	Diesel		0.2541798819072783
298	28	Man	4+	Retired	Agency	No	6	Sport	29674	Manual	Petrol		0.34246137564911888
299	36	Woman	4+	"Public Sector - Director"	Agency	No	4	Saloon	13528	Automatic	Diesel		-0.040544492680500366
301	71	Man	4+	"Public Sector - Director"	On-line	No	12	Estate	24431	Automatic	Diesel		0.10180524282829805
302	27	Man	4+	"Private Sector - Manager"	Agency	No	6	Saloon	23418	Automatic	Petrol		0.15675965388895957
304	74	Woman	2	Independant	Agency	Yes	6	Sport	42843	Manual	Petrol		0.066353546826880092
308	51	Man	1	"Private Sector - Employee"	Agency	Yes	16	Sport	28303	Automatic	Petrol		0.19702768542807295
309	60	Man	2	"Private Sector - Manager"	Agency	No	20	Sport	34096	Automatic	Diesel		0.35836950231554343
310	20	Man	4+	"Public Sector - Manager"	On-line	No	2	Estate	18692	Manual	Diesel		0.34446360947170473
311	31	Woman	1	"Private Sector - Employee"	Agency	No	6	Sport	30010	Manual	Diesel		0.20862799079738814
312	76	Man	2	Independant	Agency	Yes	5	Estate	16528	Manual	Diesel		0.30636656935797624
313	56	Man	2	Unemployed	On-line	No	7	Estate	21884	Manual	Diesel		0.17917522958220211
314	57	Man	1	"Private Sector - Manager"	Agency	Yes	18	Saloon	31380	Automatic	Petrol		0.094887373738980874
315	73	Man	2	"Public Sector - Manager"	On-line	No	16	Estate	39408	Automatic	Petrol		0.17457765615568516
316	24	Woman	1	Independant	Agency	No	6	Estate	43363	Automatic	Diesel		0.015755940681647859
317	48	Woman	0	Student	On-line	No	16	Estate	30771	Manual	Petrol		0.099291003713765785
318	36	Woman	2	"Private Sector - Manager"	Agency	No	16	Estate	26103	Automatic	Diesel		0.12418992150133441
319	48	Man	0	Student	Agency	No	12	Saloon	28523	Automatic	Diesel		0.3396056243449358
320	41	Woman	0	"Public Sector - Director"	Agency	No	5	Sport	25145	Automatic	Petrol		0.21443262641198274
321	40	Man	4+	"Private Sector - Director"	Agency	Yes	18	Saloon	24031	Manual	Diesel		0.24953805046636612
322	52	Woman	4+	"Private Sector - Manager"	On-line	No	19	Sport	44623	Manual	Diesel		0.14413451818769604
323	48	Woman	4+	Unemployed	Agency	No	12	Sport	12563	Manual	Diesel		0.1667647021964441
324	44	Man	2	Government	On-line	No	19	Estate	40959	Automatic	Diesel		0.14916279255263906
